id,seth,seth.min_weighted,vass,inharmonicity
dy10c,179603.803413,843.370792,134.869306,0.385915
dy11c,142334.804088,398.470964,45.313946,0.299811
dy12c,18502.997312,50.323018,8.101889,0.168642
dy1c,105071.589381,1221.423992,335.596422,0.260590
dy2c,93611.467889,1121.509094,326.771746,0.365516
dy3c,91946.959651,873.444316,199.785640,0.341319
dy4c,126959.918506,976.385517,204.619272,0.372069
dy5c,153678.779965,1167.511077,261.560105,0.414762
dy6c,181399.990783,1637.193860,360.366309,0.395303
dy7c,122406.118289,1191.783305,242.878118,0.236016
dy8c,181707.087637,880.252565,165.100415,0.355560
dy9c,170171.113703,707.996306,133.155653,0.377597
te100c,330923.602610,1288.600969,200.305763,0.410980
te101c,267731.132356,2471.311876,557.521474,0.379045
te102c,280775.950371,2860.167994,673.785218,0.414823
te103c,261020.524556,2970.534889,708.715439,0.406370
te104c,266266.365964,2709.574312,682.201218,0.439788
te105c,221597.000534,2017.131933,517.673537,0.415539
te106c,216119.267445,1146.596036,194.312916,0.343212
te107c,228481.353451,1227.342047,212.140242,0.355077
te108c,174024.333734,862.201242,124.177139,0.385129
te109c,247842.081094,2361.857942,537.201624,0.408214
te10c,388018.216741,1768.974376,235.476600,0.356854
te110c,229822.444977,2312.602510,502.859325,0.361187
te111c,255944.686230,2946.978273,760.255832,0.457232
te112c,225997.144267,1694.574117,373.558400,0.431787
te113c,232602.159458,1445.470787,289.750386,0.335613
te114c,256049.392378,1534.347198,287.522736,0.375023
te115c,180056.546347,885.971687,131.985299,0.397599
te116c,379233.780091,3525.814467,777.432756,0.415651
te117c,247123.369518,2053.441101,450.907618,0.435314
te118c,302539.398821,2116.682687,403.151609,0.417958
te119c,237143.343590,1575.784025,329.546761,0.364716
te11c,275030.344781,2362.931945,541.876834,0.403945
te120c,270868.874345,1451.056656,256.718625,0.396513
te121c,168460.548473,912.356950,157.546583,0.401533
te122c,383608.476835,2779.689098,559.817322,0.360007
te123c,350632.275421,2642.261899,592.485234,0.451971
te124c,277064.860889,1791.612638,408.031358,0.385803
te125c,276720.857418,1563.550892,314.614472,0.401889
te126c,137672.635049,761.910935,121.052511,0.314841
te127c,415030.298914,3194.095366,637.679671,0.397105
te128c,394726.863753,2289.791827,406.300950,0.365600
te129c,337479.261794,1867.085786,343.615075,0.416668
te12c,275546.338464,2824.323537,703.782978,0.415417
te130c,207382.642228,990.032462,172.235722,0.411057
te131c,395859.073443,2546.217494,474.502485,0.352413
te132c,338394.601363,1734.044865,292.996067,0.431243
te133c,231601.669240,1198.071283,203.978434,0.410458
te134c,470990.032389,2901.041120,513.022909,0.403787
te135c,229899.748804,942.418230,125.477733,0.323744
te136c,278264.383333,1314.355231,214.183896,0.420121
te137c,254580.673403,2324.955404,517.361099,0.393315
te138c,243961.628181,2582.707815,564.036506,0.342033
te139c,272351.709354,2883.960805,660.395173,0.433535
te13c,398972.576383,3315.700041,724.496136,0.415601
te140c,202115.294966,1469.463557,308.405554,0.432988
te141c,171140.030253,1129.474524,214.737600,0.440537
te142c,232319.961927,1259.917661,216.892264,0.356343
te143c,179157.713310,906.846075,150.584326,0.425551
te144c,279584.168500,2550.167120,578.372906,0.424673
te145c,232851.815395,1825.730510,359.826422,0.422146
te146c,203303.953244,1620.978858,342.377560,0.468549
te147c,203582.995850,1283.397100,237.402729,0.418548
te148c,245336.046391,1268.886652,200.070346,0.376222
te149c,155207.567442,774.143756,105.428901,0.411810
te14c,376263.060893,3116.479381,750.440319,0.370996
te150c,311640.401891,3009.041713,628.239076,0.389968
te151c,291219.097421,2654.028005,589.679503,0.423267
te152c,317610.191184,2651.806046,559.067535,0.393563
te153c,243970.282358,1722.779263,395.851173,0.357723
te154c,129742.982935,661.022365,90.255142,0.306658
te155c,420684.219206,2770.182298,537.449150,0.397603
te156c,393154.892878,3094.993465,599.934348,0.445887
te157c,334126.660246,1900.021407,363.743530,0.374707
te158c,208819.259319,1227.726916,215.428622,0.422587
te159c,405516.962192,2986.253028,591.506082,0.432827
te15c,339503.344865,2264.235662,552.603988,0.389370
te160c,387313.496873,2321.821001,413.747666,0.380782
te161c,215700.683181,1110.635043,187.498090,0.379182
te162c,444655.097463,2743.564560,454.383258,0.406648
te163c,254702.012645,1318.426538,207.524032,0.430156
te164c,249184.037360,1199.131180,185.362631,0.338161
te165c,260528.443688,2079.263335,441.683712,0.385544
te166c,248096.422424,1861.275374,353.838743,0.398879
te167c,218266.477101,1601.329886,339.002906,0.406955
te168c,188634.890423,1060.639036,171.360489,0.401708
te169c,189963.816653,1090.120542,177.178510,0.404721
te16c,342760.240239,2554.902968,702.634015,0.403962
te170c,110813.251345,643.108842,102.437809,0.385876
te171c,315793.294595,2698.684066,530.755554,0.389769
te172c,254887.190488,2141.553396,459.666251,0.371931
te173c,243358.586442,2235.905833,477.469666,0.438989
te174c,196585.030266,1183.049289,241.037187,0.451860
te175c,118440.908610,644.358964,93.372051,0.308609
te176c,381493.865211,2699.798406,520.361444,0.364312
te177c,341409.560793,2258.789083,416.400617,0.413177
te178c,328401.957914,2576.023226,506.194241,0.434406
te179c,164239.568006,757.115459,121.449131,0.393494
te17c,388810.954316,2811.044911,726.801823,0.391939
te180c,326703.950331,2210.993109,411.159311,0.402339
te181c,411037.565728,2269.560407,390.468256,0.467480
te182c,213295.536783,858.814057,133.924049,0.402601
te183c,490189.195631,3166.592105,591.610062,0.405703
te184c,236901.971576,1192.381017,215.283757,0.434102
te185c,311893.372881,2049.389387,310.760800,0.368677
te186c,301509.410429,2528.138335,561.958232,0.390441
te187c,240362.273771,1932.714964,381.334115,0.430405
te188c,246183.893653,2179.387041,453.572510,0.435002
te189c,220144.945423,1321.927146,237.481655,0.417987
te18c,450687.721430,2686.166126,587.639303,0.390102
te190c,103981.127238,660.561149,105.111335,0.403617
te191c,384729.068709,2987.997979,557.511439,0.373919
te192c,310267.007114,2208.493962,424.973410,0.427404
te193c,269078.437080,1863.739138,358.388156,0.421896
te194c,115199.592168,607.301779,97.912799,0.369702
